task,substrate,readout,env,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_mean,post_swap_mean,steady_acc,n_flips,v_final
drift_binary,parallel,rmhl_oracle,B,7,256,40000,2.2089169025421143,0.8949541468807316,nan,,0.885,0,nan
drift_binary,parallel,meta_self,B,8,256,40000,2.169809103012085,0.8953027562121555,nan,,0.88,0,0.15
drift_binary,parallel,meta_self,B,9,256,40000,2.037693500518799,0.8950158287480212,nan,,0.875,0,0.15
drift_binary,parallel,meta_self,B,4,256,40000,2.2250442504882812,0.9034764201904475,nan,,0.925,0,0.15
drift_binary,parallel,meta_self,B,5,256,40000,2.052245855331421,0.9041756488530439,nan,,0.915,0,0.15
drift_binary,parallel,meta_self,B,6,256,40000,2.2096476554870605,0.8963399160825104,nan,,0.91,0,0.15
drift_binary,parallel,meta_self,B,7,256,40000,2.0753326416015625,0.8949541468807316,nan,,0.885,0,0.15
drift_binary,parallel,rmhl_oracle,B,8,256,40000,2.3148276805877686,0.8953027562121555,nan,,0.88,0,nan
drift_binary,parallel,rmhl_oracle,B,9,256,40000,2.4101147651672363,0.8950158287480212,nan,,0.875,0,nan
drift_binary,parallel,meta_self,B,2,256,40000,2.671001672744751,0.9024684053164495,nan,,0.9,0,0.15
drift_binary,parallel,meta_self,B,3,256,40000,2.49743914604187,0.8860200748724907,nan,,0.88,0,0.15
drift_binary,parallel,meta_self,B,0,256,40000,2.891313314437866,0.9020626366171705,nan,,0.9,0,0.15
drift_binary,parallel,meta_self,B,1,256,40000,2.531660556793213,0.8994353156955854,nan,,0.89,0,0.15
drift_binary,random_graph_k25,rmhl_oracle,A,4,256,40000,4.939151763916016,0.4964818723147659,0.6383333333333333,0.35000000000000003,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,5,256,40000,4.7409117221832275,0.49781362277329705,0.645,0.35333333333333333,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,2,256,40000,4.948655605316162,0.5010477123690359,0.65,0.3516666666666666,,0,nan
