task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,gain_mean,gain_max
drift_binary,R3_compression,parallel,delta_high,0,256,40000,1.6538190841674805,0.5788475163940604,0.72,0.5,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,1,256,40000,1.5606462955474854,0.5914969473128816,0.675,0.6,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_boost,8,256,40000,1.9418995380401611,0.72871623828547,1.0,0.5,0.5,4.712159162451384,9.994
drift_binary,R3_compression,parallel,delta_boost,9,256,40000,1.7235066890716553,0.7253492374563453,0.99,0.415,0.5,4.839290872017544,9.998503640338805
drift_binary,R3_compression,parallel,delta_high,2,256,40000,2.1205716133117676,0.5910759779905028,0.655,0.575,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,3,256,40000,1.8233880996704102,0.5679847240019095,0.655,0.48,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,6,256,40000,1.5009980201721191,0.5886196326725459,0.615,0.545,0.585,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,7,256,40000,1.8179078102111816,0.579921735634783,0.63,0.6,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,4,256,40000,1.9454212188720703,0.6028170146478732,0.635,0.5,0.6,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,5,256,40000,2.0136451721191406,0.6145109419361322,0.725,0.5,0.59,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,8,256,40000,1.751190423965454,0.5731747946031507,0.665,0.5,0.5,0.0,0.0
drift_binary,R3_compression,parallel,delta_high,9,256,40000,2.0640196800231934,0.5743480063314992,0.715,0.415,0.5,0.0,0.0
drift_binary,R3_compression,parallel,rls_online,0,256,40000,1.8312788009643555,0.9852239893470014,1.0,1.0,1.0,nan,0.0
drift_binary,R3_compression,parallel,rls_online,1,256,40000,2.353198289871216,0.9838936207632973,1.0,1.0,1.0,nan,0.0
