task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R2_partial_shift,parallel,single_flip,7,256,40000,2.153268337249756,0.6897920906509887,0.88,0.4,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip,8,256,40000,1.9530513286590576,0.681924072259491,0.905,0.5,0.485,2,0
drift_binary,R2_partial_shift,parallel,single_flip,9,256,40000,1.8771827220916748,0.7183524283309465,0.92,0.5,0.52,3,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,0,256,40000,2.0793654918670654,0.7009666842541645,0.915,0.5,0.495,6,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,1,256,40000,2.0445690155029297,0.7058181955227255,0.91,0.5,0.535,6,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,2,256,40000,1.9459664821624756,0.6907376699077913,0.895,0.5,0.465,5,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,3,256,40000,1.9958293437957764,0.7044900881887389,0.89,0.5,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,4,256,40000,2.113348960876465,0.6886913645385795,0.88,0.4,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,5,256,40000,2.159695863723755,0.6916142810482149,0.895,0.49,0.5,4,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,6,256,40000,2.053816080093384,0.7049282681339665,0.88,0.5,0.5,2,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,7,256,40000,2.093665361404419,0.7025530765558654,0.88,0.53,0.5,4,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,8,256,40000,2.1405019760131836,0.7124735559408055,0.905,0.5,0.515,4,0
drift_binary,R2_partial_shift,parallel,single_flip_norm,9,256,40000,2.0219178199768066,0.7093074294615713,0.92,0.5,0.52,2,0
drift_binary,R2_partial_shift,parallel,pop5_norm,0,256,40000,2.1259725093841553,0.6989591970051005,0.915,0.5,0.5,40,38
drift_binary,R2_partial_shift,parallel,pop5_norm,1,256,40000,2.0900683403015137,0.705315695585538,0.91,0.5,0.495,42,38
drift_binary,R2_partial_shift,parallel,pop5_norm,4,256,40000,2.362339973449707,0.693213863973267,0.88,0.5,0.5,45,38
drift_binary,R2_partial_shift,parallel,pop5_norm,5,256,40000,2.015350341796875,0.6916645310419336,0.895,0.49,0.5,43,38
drift_binary,R2_partial_shift,parallel,pop5_norm,8,256,40000,2.138061285018921,0.7089700007537498,0.905,0.5,0.515,35,38
drift_binary,R2_partial_shift,parallel,pop5_norm,9,256,40000,2.1021971702575684,0.7133960202004975,0.92,0.5,0.5,32,38
drift_binary,R2_partial_shift,parallel,pop5_norm,2,256,40000,2.570483684539795,0.7046054119243235,0.895,0.5,0.5,45,38
drift_binary,R2_partial_shift,parallel,pop5_norm,3,256,40000,2.4357404708862305,0.6964500891937389,0.89,0.48,0.5,35,38
drift_binary,R2_partial_shift,parallel,pop5_norm,6,256,40000,2.0882773399353027,0.7004057686992788,0.88,0.5,0.495,32,38
drift_binary,R2_partial_shift,parallel,pop5_norm,7,256,40000,2.388110876083374,0.6925030778121153,0.88,0.5,0.5,42,38
drift_binary,R2_partial_shift,random_graph_k25,rmhl,0,256,40000,4.1865458488464355,0.7258370392703701,0.95,0.5,0.505,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,1,256,40000,7.25851035118103,0.7195369463078818,0.945,0.5,0.465,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,2,256,40000,4.069374322891235,0.7338139745232531,0.935,0.5,0.535,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,3,256,40000,7.180619955062866,0.7057220924097385,0.94,0.5,0.5,0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,4,256,40000,4.070676326751709,0.7254600386924951,0.93,0.525,0.5,0,0
