task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R4_near_inversion,parallel,rmhl,1,256,40000,3.815342426300049,0.5202579080927615,0.91,0.11,0.115,0
drift_binary,R4_near_inversion,parallel,rmhl,4,256,40000,2.833345651626587,0.5077215396598075,0.88,0.11,0.09,0
drift_binary,R4_near_inversion,parallel,rmhl,5,256,40000,3.060915470123291,0.5064857666892791,0.895,0.095,0.095,0
drift_binary,R3_compression,random_graph_k25,single_flip,2,256,40000,7.297038555145264,0.7308253561468305,0.935,0.4,0.535,2
drift_binary,R3_compression,random_graph_k25,single_flip,3,256,40000,7.405452728271484,0.7047119419110072,0.94,0.42,0.5,2
drift_binary,R4_near_inversion,parallel,rmhl,2,256,40000,3.5062410831451416,0.5144967463129068,0.895,0.11,0.135,0
drift_binary,R4_near_inversion,parallel,rmhl,3,256,40000,3.2907111644744873,0.5338762845154644,0.89,0.175,0.195,0
drift_binary,R3_compression,random_graph_k25,single_flip,4,256,40000,7.120337009429932,0.7223935328258084,0.93,0.585,0.5,4
drift_binary,R3_compression,random_graph_k25,single_flip,5,256,40000,7.280121803283691,0.72024119996985,0.93,0.5,0.5,2
drift_binary,R3_compression,random_graph_k25,single_flip,6,256,40000,7.167184829711914,0.7314313710710786,0.93,0.59,0.5,3
drift_binary,R3_compression,random_graph_k25,single_flip,7,256,40000,7.252687215805054,0.7101640662294918,0.93,0.4,0.5,2
drift_binary,R3_compression,random_graph_k25,single_flip,0,256,40000,9.709185123443604,0.7224843596894551,0.95,0.4525,0.505,2
drift_binary,R3_compression,random_graph_k25,single_flip,1,256,40000,8.996509313583374,0.7298925906384262,0.945,0.5,0.535,5
drift_binary,R4_near_inversion,parallel,rmhl,6,256,40000,3.79823899269104,0.5084788070651491,0.88,0.11,0.11,0
drift_binary,R4_near_inversion,parallel,rmhl,7,256,40000,3.946852445602417,0.5185378508077687,0.88,0.105,0.15,0
drift_binary,R4_near_inversion,parallel,single_flip,0,256,40000,2.837073564529419,0.8753218512097686,0.915,0.88,0.88,1
drift_binary,R4_near_inversion,parallel,single_flip,1,256,40000,2.823064088821411,0.8597998794000152,0.91,0.89,0.89,1
drift_binary,R4_near_inversion,parallel,rmhl,8,256,40000,3.969409942626953,0.5077372427828447,0.905,0.14,0.13,0
drift_binary,R4_near_inversion,parallel,rmhl,9,256,40000,3.09501314163208,0.5206501092937363,0.92,0.15,0.135,0
drift_binary,R4_near_inversion,parallel,single_flip,4,256,40000,2.7925331592559814,0.8782966508379186,0.88,0.89,0.91,1
drift_binary,R4_near_inversion,parallel,single_flip,5,256,40000,2.8308310508728027,0.8824456671942916,0.895,0.905,0.905,1
drift_binary,R4_near_inversion,parallel,single_flip,8,256,40000,2.725147247314453,0.874965704379287,0.905,0.86,0.87,1
drift_binary,R4_near_inversion,parallel,single_flip,9,256,40000,2.9440600872039795,0.861209391723826,0.92,0.85,0.865,1
drift_binary,R3_compression,random_graph_k25,single_flip,8,256,40000,9.011146545410156,0.7020442953694631,0.94,0.5,0.485,2
drift_binary,R3_compression,random_graph_k25,single_flip,9,256,40000,8.875324249267578,0.7381330871083641,0.95,0.5,0.52,3
