task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,parallel,rls_auto_adapt,500,3,256,40000,9.14396595954895,0.7002273812215773,-1,nan,0,0.2,163.49411764705883,0.5464705882352942,0.9,0.48,0.9,0.535
adaptive_window,parallel,rls_auto_adapt,500,6,256,40000,9.073431491851807,0.7269076153865481,-1,nan,0,0.32,163.3294117647059,0.5476470588235294,0.9,0.5,0.9,0.6
adaptive_window,parallel,rls_auto_adapt,500,7,256,40000,8.754884719848633,0.726434009195749,1619,0.27999999999999997,1,0.27999999999999997,159.21176470588236,0.5770588235294117,0.9,0.5,0.9,0.6
adaptive_window,parallel,pop_auto,500,6,256,40000,12.637540102005005,0.7666817416647823,1799,0.17499999999999993,1,0.17499999999999993,240.0,0.0,0.9,0.6,0.9,0.615
adaptive_window,parallel,pop_auto,500,7,256,40000,12.598966360092163,0.7570865053641869,1739,0.17499999999999993,1,0.19999999999999996,240.0,0.0,0.9,0.6,1.0,0.6
adaptive_window,parallel,rls_auto_adapt,500,8,256,40000,8.959585666656494,0.722006984749127,-1,nan,0,0.34,163.3294117647059,0.5476470588235294,0.9,0.535,0.9,0.575
adaptive_window,parallel,rls_auto_adapt,500,9,256,40000,6.020298957824707,0.7683877289515338,599,0.19999999999999996,1,0.19999999999999996,163.16470588235293,0.5488235294117647,0.9,0.66,0.9,0.6
adaptive_window,parallel,pop_auto_adapt,500,0,256,40000,9.1234290599823,0.767133991608251,-1,nan,0,0.21999999999999997,162.42352941176472,0.5541176470588235,0.925,0.6,0.98,0.6
adaptive_window,parallel,pop_auto_adapt,500,1,256,40000,6.367932558059692,0.789220120097485,699,0.20000000000000007,1,0.20000000000000007,175.8470588235294,0.4582352941176471,0.96,0.6,0.965,0.685
adaptive_window,parallel,pop_auto_adapt,500,4,256,40000,9.080222606658936,0.7532624808421899,-1,nan,0,0.2,165.88235294117646,0.5294117647058824,0.9,0.59,0.925,0.6
