task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_expansions,n_snaps,best_delta_l0,best_delta_l1,exp1_block,exp1_delta,exp1_cq,exp2_block,exp2_delta,exp2_cq,w_norm_end,max_abs_pred,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg5_acc,seg6_acc
multi_level_expansion,random_graph_k25,rls_quad_start,0,256,60000,20.806596994400024,0.7343296934833866,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,3.4496085699967862,1.0,0.805,0.6,0.8,0.655,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,1,256,60000,17.427369356155396,0.744415645223324,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,5.2009105865078835,1.0,0.895,0.7,0.8,0.665,0.535
multi_level_expansion,random_graph_k25,rls_quad_start,4,256,60000,19.82497763633728,0.7569204528352368,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,3.367290118225634,0.915,0.9,0.67,0.81,0.7,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,5,256,60000,17.92820715904236,0.752894600424742,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.702635958799033,1.0,0.84,0.63,0.8,0.7,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,6,256,60000,20.530272960662842,0.7634613133559639,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.8480683780220146,1.0,0.82,0.7,0.8,0.725,0.6
multi_level_expansion,random_graph_k25,rls_quad_start,7,256,60000,17.303701400756836,0.7415569973746258,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,11.2221202430968,0.905,0.855,0.6,0.8,0.7,0.6
multi_level_expansion,random_graph_k25,rls_cubic_start,0,256,60000,23.80721139907837,0.7184946740021071,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,6.007181005528207,1.0,0.8,0.61,0.795,0.605,0.6
multi_level_expansion,random_graph_k25,rls_cubic_start,1,256,60000,23.03048586845398,0.7274594070333272,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.078709588812989,0.9,0.8,0.6,0.8,0.68,0.6
multi_level_expansion,random_graph_k25,pop_auto_multi,6,256,60000,27.327941179275513,0.8150482433404125,0,60,0.975,nan,-1,nan,nan,-1,nan,nan,2653.2708621766874,4.653542297466004,1.0,0.9,0.765,0.9,0.9,0.595
multi_level_expansion,random_graph_k25,pop_auto_multi,7,256,60000,29.028422594070435,0.799647999197338,0,59,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,2912.270847537639,5.159212643894841,1.0,0.8875,0.68,0.9,0.9,0.6
multi_level_expansion,random_graph_k25,pop_auto_multi,8,256,60000,28.12650489807129,0.802740756843531,0,59,0.975,nan,-1,nan,nan,-1,nan,nan,2968.925434398321,1.9148828033531498,1.0,0.9,0.7,0.9,0.9,0.6
multi_level_expansion,random_graph_k25,pop_auto_multi,9,256,60000,27.629794597625732,0.803726526312269,0,54,0.9583333333333334,nan,-1,nan,nan,-1,nan,nan,2615.940318382434,1.9296609742818118,1.0,0.855,0.7,0.9,0.9,0.62
multi_level_expansion,random_graph_k25,rls_cubic_start,2,256,60000,29.697593927383423,0.7218390996806074,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,33.06806890553685,0.9,0.8,0.6,0.765,0.7,0.6
multi_level_expansion,random_graph_k25,rls_cubic_start,3,256,60000,318.1685745716095,0.7089806190531931,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,7.840805060954222,0.9,0.8,0.61,0.8,0.6,0.6
multi_level_expansion,parallel,rls_auto_multi,0,256,60000,26.624151468276978,0.6324760455510777,2,0,0.925,0.95,779,0.1333333333333333,0.6916666666666667,2279,0.11666666666666659,0.7583333333333333,8.352698765780012,16.19836271092654,0.825,0.57,0.49,0.805,0.555,0.55
multi_level_expansion,parallel,rls_auto_multi,1,256,60000,326.91600131988525,0.6108723934382368,1,0,0.9333333333333333,0.95,759,0.1333333333333333,0.6916666666666667,-1,nan,nan,101.21939341420347,3.8609118658760764,0.825,0.565,0.505,0.76,0.56,0.48
