task,env,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,post_rot_acc,steady_acc,gain_mean,gain_max
rotation2d,R2D_rot90,parallel,rls_online,4,256,40000,2.5603911876678467,0.8825104896861888,0.9,0.9,0.92,1.0,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,5,256,40000,2.4410274028778076,0.8802731087158614,1.0,0.9,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,6,256,40000,2.3411529064178467,0.8739893470013317,0.9,0.865,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,7,256,40000,2.6377882957458496,0.8657772417778449,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,8,256,40000,2.596097230911255,0.8831637396045326,0.9,0.81,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,parallel,rls_online,9,256,40000,2.7606050968170166,0.8636956357880454,0.9,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,0,256,40000,7.423170328140259,0.8010042461244693,0.835,0.775,0.835,0.845,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,1,256,40000,8.19796371459961,0.8060001004999874,0.85,0.745,0.86,0.85,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,2,256,40000,7.4669764041900635,0.8081706489786687,0.87,0.75,0.85,0.85,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,3,256,40000,8.302778244018555,0.8010131654983543,0.855,0.81,0.825,0.855,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,4,256,40000,7.738965749740601,0.8184225270721842,0.845,0.7725,0.845,0.86,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,5,256,40000,8.4174325466156,0.8074591090676114,0.845,0.815,0.86,0.86,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,6,256,40000,7.603870391845703,0.8065808648023919,0.82,0.77,0.845,0.8674999999999999,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,7,256,40000,8.521379947662354,0.8006349086706364,0.855,0.73,0.835,0.83,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,8,256,40000,7.681051015853882,0.8067949297756338,0.84,0.775,0.85,0.86,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,rmhl_norm,9,256,40000,8.496678590774536,0.7934467726941534,0.84,0.68,0.815,0.835,nan,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,0,256,40000,7.536479234695435,0.756974447878194,0.79,0.75,0.805,0.785,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,1,256,40000,8.19851303100586,0.7679158815105148,0.82,0.64,0.805,0.82,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,2,256,40000,7.455773830413818,0.7662910479636189,0.81,0.73,0.805,0.81,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,3,256,40000,8.125922441482544,0.7541732619783422,0.8,0.735,0.77,0.785,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,4,256,40000,7.730370998382568,0.7729457802567774,0.785,0.72,0.805,0.835,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,5,256,40000,8.075455665588379,0.7625637546795307,0.815,0.745,0.805,0.81,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,6,256,40000,8.32017207145691,0.7600559031180121,0.79,0.655,0.8,0.815,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,7,256,40000,7.811808109283447,0.7583775533278058,0.81,0.64,0.79,0.78,0.0,0.0
rotation2d,R2D_rot90,random_graph_k25,delta_base,8,256,40000,8.275036096572876,0.7643147157106606,0.81,0.72,0.815,0.86,0.0,0.0
