task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,recovery,post_mean,success_rate
d2_timescale,random_graph_k25,rmhl_oracle,3.0,150,9,256,40000,3.5375399589538574,0.5141462526067183,0,nan,0.09508787476694829,0.5898,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,0,256,40000,3.546349287033081,0.4996384512951935,0,nan,-0.0974267354351194,0.4507916666666667,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,1,256,40000,3.4786574840545654,0.5193086857114142,0,nan,0.17222229347540122,0.700366111111111,0.6666666666666666
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,2,256,40000,3.455566167831421,0.5033986583251677,0,nan,-0.07791694926773657,0.47435555555555564,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,3,256,40000,3.6346852779388428,0.5332680083414989,0,nan,0.14916472134526004,0.703416111111111,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,4,256,40000,3.6595184803009033,0.4977381221577347,0,nan,-0.09619553889327367,0.4507761111111111,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,5,256,40000,3.452193021774292,0.4974367478204064,0,nan,-0.09599704602589966,0.45045222222222214,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,6,256,40000,3.3286995887756348,0.5072789628401296,0,nan,-0.06718140394340669,0.4787066666666667,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,7,256,40000,3.323032855987549,0.5046482500439687,0,nan,-0.06980800374170539,0.47463333333333335,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,8,256,40000,3.2022311687469482,0.5187968895253888,0,nan,-0.057810731824958356,0.4944888888888889,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,4.0,200,9,256,40000,3.397102117538452,0.5033766739529156,0,nan,0.017100203820631994,0.5489005555555555,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,0,256,40000,3.5528266429901123,0.49851649456043823,0,nan,-0.2967591666666667,0.35177625000000007,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,1,256,40000,3.470209836959839,0.5141078113615235,0,nan,-0.3152666666666666,0.3539858333333333,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,2,256,40000,3.508570671081543,0.5010477123690359,0,nan,-0.29714749999999995,0.35330333333333336,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,3,256,40000,3.5615975856781006,0.536685007914374,0,nan,-0.30740875,0.3566283333333333,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,6,256,40000,3.5498926639556885,0.5019022135122233,0,nan,-0.29510291666666666,0.3506525,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,7,256,40000,3.4423248767852783,0.504753272530841,0,nan,-0.29877312500000003,0.3497620833333333,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,4,256,40000,3.5102732181549072,0.4964818723147659,0,nan,-0.2928904166666667,0.3502608333333333,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,5,256,40000,3.5563559532165527,0.49781362277329705,0,nan,-0.2930029166666667,0.35310250000000004,0.3333333333333333
d2_timescale,random_graph_k25,passive_fixed,0.25,12,0,256,40000,3.4810659885406494,0.46886585764176786,9,nan,-0.011300078362229406,0.45903488955823296,0.29518072289156627
d2_timescale,random_graph_k25,passive_fixed,0.25,12,1,256,40000,3.4634759426116943,0.479692344413457,10,nan,-0.016262311440885475,0.46522314257028113,0.3313253012048193
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,8,256,40000,3.566415786743164,0.506090927363634,0,nan,-0.2863895833333334,0.3600775,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,10.0,500,9,256,40000,3.5989537239074707,0.5026771940403507,0,nan,-0.29620625,0.35645333333333334,0.3333333333333333
d2_timescale,random_graph_k25,passive_fixed,0.25,12,2,256,40000,3.187521457672119,0.4701396949825381,11,nan,-0.010900544250171411,0.46159186746987946,0.3614457831325301
d2_timescale,random_graph_k25,passive_fixed,0.25,12,3,256,40000,3.2157702445983887,0.4926206627974171,8,nan,-0.013800007958663929,0.48082881526104415,0.25301204819277107
d2_timescale,random_graph_k25,passive_fixed,0.25,12,4,256,40000,3.268361806869507,0.46419826135021736,11,nan,-0.011785550739543545,0.454238202811245,0.3433734939759036
d2_timescale,random_graph_k25,passive_fixed,0.25,12,5,256,40000,3.1355578899383545,0.4613007210874098,12,nan,-0.012446866735233616,0.45102685742971876,0.3493975903614458
d2_timescale,random_graph_k25,passive_fixed,0.25,12,8,256,40000,3.463266134262085,0.47039257807592777,9,nan,-0.01803757713781957,0.45433609437751005,0.27710843373493976
d2_timescale,random_graph_k25,passive_fixed,0.25,12,9,256,40000,3.316166400909424,0.474189216351348,11,nan,-0.015492696395337452,0.460504016064257,0.3253012048192771
d2_timescale,random_graph_k25,passive_fixed,0.25,12,6,256,40000,3.4738454818725586,0.46737770407778695,12,nan,-0.0160215924674307,0.45251606425702817,0.3072289156626506
d2_timescale,random_graph_k25,passive_fixed,0.25,12,7,256,40000,3.465548038482666,0.4804827768146529,9,nan,-0.016268751836614758,0.4662745983935744,0.3313253012048193
d2_timescale,random_graph_k25,passive_fixed,0.5,25,4,256,40000,3.2942216396331787,0.4684479033190121,15,nan,0.014320442795355952,0.4813592989289192,0.35443037974683544
d2_timescale,random_graph_k25,passive_fixed,0.5,25,5,256,40000,3.4736037254333496,0.47492475063440615,14,nan,0.0003942183309772312,0.48044182083739045,0.31645569620253167
d2_timescale,random_graph_k25,passive_fixed,0.5,25,2,256,40000,3.4585533142089844,0.4712637873420266,18,nan,0.0015230230940681151,0.47814459591041875,0.3924050632911392
