pulses,M_cv0.02,M_cv0.2,M_cv0.5,M_cv1.0,single_exp
156.952,4.984496e-05,1.548450e-04,1.295817e-03,5.814289e-03,4.907050e-05
162.482,3.518442e-05,1.185202e-04,1.111326e-03,5.309675e-03,3.459397e-05
168.206,2.453422e-05,9.006972e-05,9.505806e-04,4.843580e-03,2.408971e-05
174.132,1.689278e-05,6.795061e-05,8.109176e-04,4.413572e-03,1.656247e-05
180.267,1.148009e-05,5.088299e-05,6.899138e-04,4.017325e-03,1.123794e-05
186.619,7.696733e-06,3.781399e-05,5.853740e-04,3.652622e-03,7.521655e-06
193.193,5.088374e-06,2.788488e-05,4.953166e-04,3.317351e-03,4.963601e-06
200,3.315512e-06,2.040125e-05,4.179589e-04,3.009504e-03,3.227902e-06
207.046,2.128147e-06,1.480645e-05,3.517029e-04,2.727178e-03,2.067568e-06
214.341,1.344945e-06,1.065826e-05,2.951213e-04,2.468566e-03,1.303717e-06
221.893,8.364195e-07,7.608463e-06,2.469439e-04,2.231964e-03,8.088181e-07
229.71,5.115843e-07,5.385382e-06,2.060438e-04,2.015758e-03,4.934165e-07
237.803,3.075615e-07,3.779017e-06,1.714254e-04,1.818431e-03,2.958110e-07
246.182,1.816386e-07,2.628556e-06,1.422120e-04,1.638552e-03,1.741753e-07
254.855,1.053116e-07,1.812028e-06,1.176343e-04,1.474780e-03,1.006594e-07
263.834,5.990433e-08,1.237812e-06,9.701945e-05,1.325853e-03,5.706012e-08
273.129,3.340915e-08,8.377599e-07,7.978152e-05,1.190592e-03,3.170483e-08
282.752,1.825577e-08,5.616841e-07,6.541174e-05,1.067895e-03,1.725547e-08
292.714,9.766838e-09,3.729966e-07,5.347000e-05,9.567314e-04,9.192209e-09
303.027,5.112206e-09,2.452959e-07,4.357699e-05,8.561415e-04,4.789354e-09
313.703,2.615975e-09,1.597278e-07,3.540694e-05,7.652326e-04,2.438700e-09
324.755,1.307642e-09,1.029694e-07,2.868105e-05,6.831750e-04,1.212586e-09
336.197,6.380009e-10,6.570609e-08,2.316163e-05,6.091993e-04,5.882690e-10
348.042,3.035754e-10,4.149587e-08,1.864671e-05,5.425927e-04,2.782093e-10
360.304,1.407498e-10,2.593214e-08,1.496533e-05,4.826963e-04,1.281474e-10
372.998,6.352947e-11,1.603387e-08,1.197328e-05,4.289017e-04,5.743637e-11
386.14,2.788981e-11,9.807029e-09,9.549365e-06,3.806481e-04,2.502563e-11
399.744,1.189714e-11,5.932916e-09,7.592117e-06,3.374194e-04,1.058940e-11
413.828,4.926459e-12,3.549467e-09,6.016866e-06,2.987413e-04,4.347083e-12
428.407,1.978233e-12,2.099690e-09,4.753232e-06,2.641786e-04,1.729424e-12
443.501,7.695024e-13,1.227940e-09,3.742927e-06,2.333328e-04,6.660424e-13
459.126,2.896385e-13,7.098426e-10,2.937850e-06,2.058391e-04,2.480289e-13
475.302,1.053719e-13,4.055491e-10,2.298457e-06,1.813646e-04,8.920479e-14
492.048,3.700892e-14,2.289575e-10,1.792356e-06,1.596056e-04,3.094761e-14
509.384,1.253361e-14,1.277114e-10,1.393111e-06,1.402856e-04,1.034351e-14
527.33,4.087807e-15,7.037243e-11,1.079229e-06,1.231533e-04,3.326135e-15
545.909,1.282295e-15,3.830075e-11,8.332990e-07,1.079805e-04,1.027666e-15
565.142,3.863572e-16,2.058631e-11,6.412688e-07,9.456047e-05,3.046443e-16
585.053,1.116590e-16,1.092575e-11,4.918407e-07,8.270607e-05,8.652259e-17
605.666,3.090887e-17,5.724803e-12,3.759646e-07,7.224822e-05,2.350748e-17
627.004,8.183086e-18,2.961024e-12,2.864182e-07,6.303438e-05,6.100201e-18
649.095,2.068877e-18,1.511581e-12,2.174597e-07,5.492714e-05,1.509528e-18
671.964,4.987151e-19,7.614913e-13,1.645411e-07,4.780290e-05,3.556069e-19
695.638,1.144368e-19,3.785117e-13,1.240741e-07,4.155065e-05,7.961192e-20
720.147,2.495427e-20,1.856143e-13,9.323786e-08,3.607086e-05,1.690774e-20
745.519,5.162238e-21,8.978397e-14,6.982345e-08,3.127438e-05,3.400055e-21
771.785,1.011271e-21,4.283305e-14,5.210768e-08,2.708153e-05,6.461656e-22
798.976,1.872539e-22,2.015071e-14,3.875139e-08,2.342118e-05,1.158230e-22
