arm,seed,lr_scale,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_readout,n_params_gate,n_params_host,runtime_s
F-B-softmax-sgd,6.0,1.0,proj,softmax_sgd,8.735415393989804,0.0,0.0,0.0,9.368754904507735,11.188690593841498,0.0,7.290880561240637,nan,nan,4128.0,0.0,0.0,22.951383352279663
F-B-softmax-sgd,7.0,1.0,proj,softmax_sgd,8.604345575245915,0.0,0.0,0.0,8.704965943273482,9.761644297525526,0.0,7.182753544109646,nan,nan,4128.0,0.0,0.0,17.632147789001465
F-B-softmax-sgd,8.0,1.0,proj,softmax_sgd,8.694733455281384,0.0,0.0,0.0,9.713668103800766,9.936618284863787,0.0,7.258389212524579,nan,nan,4128.0,0.0,0.0,20.175767421722412
F-B-softmax-sgd,9.0,1.0,proj,softmax_sgd,8.66734238227523,0.0,0.0,0.0,8.907933171829704,9.938695401593481,0.0,7.261724518487203,nan,nan,4128.0,0.0,0.0,21.20546054840088
F-Gate-C-topk-softmax,0.0,1.0,gate_c_topk,softmax_sgd,7.027171972921536,0.0,0.0,0.0,8.031876433708527,8.78624132733153,0.0,35.84699283211618,0.5789838364234888,0.25,8224.0,16512.0,0.0,61.441378116607666
F-Gate-C-topk-softmax,1.0,1.0,gate_c_topk,softmax_sgd,6.697460716376093,0.0,0.0,0.0,7.873640222844666,8.414678706762203,0.0,33.184806936603636,0.5809465115786938,0.25,8224.0,16512.0,0.0,61.92812657356262
F-Gate-C-topk-softmax,2.0,1.0,gate_c_topk,softmax_sgd,7.065744747131393,0.0,0.0,0.0,9.930753405469762,11.201701179690552,0.0,29.963916739325388,0.570325592822645,0.25,8224.0,16512.0,0.0,64.19474053382874
F-Gate-C-topk-softmax,3.0,1.0,gate_c_topk,softmax_sgd,7.070544084507493,0.0,0.0,0.0,7.778197996866552,7.722785750543266,0.0,33.771875851341896,0.5696990048485626,0.25,8224.0,16512.0,0.0,65.8596305847168
F-Gate-C-topk-softmax,4.0,1.0,gate_c_topk,softmax_sgd,6.939523544998787,0.0,0.0,0.0,8.906029088930723,10.592534325152759,0.0,31.97440613130065,0.5742282384009703,0.25,8224.0,16512.0,0.0,67.16707563400269
F-Gate-C-topk-softmax,5.0,1.0,gate_c_topk,softmax_sgd,7.015801911697075,0.0,0.0,0.0,8.824873637748325,10.09148060860742,0.0,31.173288689259138,0.5808627732590701,0.25,8224.0,16512.0,0.0,68.75281882286072
F-Gate-C-topk-softmax,6.0,1.0,gate_c_topk,softmax_sgd,7.425087001684912,0.0,0.0,0.0,9.753984391600044,10.950619542942718,0.0,34.6402781917019,0.5789930840494293,0.25,8224.0,16512.0,0.0,70.42805552482605
F-Gate-C-topk-softmax,7.0,1.0,gate_c_topk,softmax_sgd,6.990706099899891,0.0,0.0,0.0,9.788246832282654,10.992916644501229,0.0,34.00755353107652,0.5628480791153574,0.25,8224.0,16512.0,0.0,68.1776933670044
F-Gate-C-topk-softmax,8.0,1.0,gate_c_topk,softmax_sgd,7.1183989717830265,0.0,0.0,0.0,11.284658518033734,13.685475313877008,0.0,31.017024090924934,0.5812418692487147,0.25,8224.0,16512.0,0.0,72.66133666038513
F-Gate-C-topk-softmax,9.0,1.0,gate_c_topk,softmax_sgd,6.976118862973836,0.0,0.0,0.0,9.833783109758539,11.70087956768831,0.0,32.88544310769446,0.5833429032521598,0.25,8224.0,16512.0,0.0,66.56750822067261
F-Skip-sub-softmax,0.0,1.0,sub,softmax_sgd,8.267414861025243,0.0,0.0,0.0,10.174508769319914,12.043870432662004,0.0,27.87063221824963,nan,nan,5152.0,0.0,0.0,22.151341199874878
F-Skip-sub-softmax,1.0,1.0,sub,softmax_sgd,7.7754053463696895,0.0,0.0,0.0,9.443578383798394,10.722667601016445,0.0,29.98340438487436,nan,nan,5152.0,0.0,0.0,22.375667572021484
