task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,4Dshell,24,30.0,256,1,48000,6.6315178871154785,0.5082801615028973,0.48,0.5066666666666667
kernel_capacity,4Dshell,24,30.0,256,2,48000,7.196573257446289,0.49915399259429716,0.48,0.5166666666666667
kernel_capacity,4Dshell,24,30.0,256,3,48000,6.668033838272095,0.49738038953159974,0.485,0.5116666666666667
kernel_capacity,4Dshell,24,25.0,256,8,48000,9.043534755706787,0.553294700947679,0.6,0.5966666666666667
kernel_capacity,4Dshell,24,25.0,256,9,48000,6.472994565963745,0.5504378569485994,0.63,0.575
kernel_capacity,4Dshell,24,30.0,256,4,48000,8.31699275970459,0.5005334616430619,0.49,0.51
kernel_capacity,4Dshell,24,30.0,256,5,48000,6.430436611175537,0.5018137695864102,0.48,0.5033333333333333
kernel_capacity,4Dshell,24,30.0,256,6,48000,7.82191276550293,0.49835317252777134,0.52,0.5083333333333333
kernel_capacity,4Dshell,24,30.0,256,7,48000,7.98213267326355,0.5303796991694735,0.52,0.49833333333333335
kernel_capacity,4Dshell,24,35.0,256,2,48000,6.939517498016357,0.4931290140373632,0.52,0.44333333333333336
kernel_capacity,4Dshell,24,35.0,256,3,48000,6.4970691204071045,0.522862701617121,0.53,0.515
kernel_capacity,4Dshell,24,30.0,256,8,48000,7.371554136276245,0.5324369783058931,0.555,0.4666666666666667
kernel_capacity,4Dshell,24,30.0,256,9,48000,8.282395124435425,0.5122742202045982,0.46,0.4683333333333333
kernel_capacity,4Dshell,24,35.0,256,8,48000,6.882702589035034,0.5091115248634965,0.52,0.49
kernel_capacity,4Dshell,24,35.0,256,9,48000,6.94630241394043,0.48983535909290604,0.48,0.47
kernel_capacity,4Dshell,24,35.0,256,0,48000,8.421721935272217,0.5133177130185561,0.5,0.5366666666666666
kernel_capacity,4Dshell,24,35.0,256,1,48000,6.849007844924927,0.5055488378904207,0.48,0.5
kernel_capacity,4Dshell,24,40.0,256,0,48000,7.058691024780273,0.4831551641179055,0.48,0.5183333333333333
kernel_capacity,4Dshell,24,40.0,256,1,48000,6.822137117385864,0.5089458379531809,0.49,0.5016666666666667
kernel_capacity,4Dshell,24,35.0,256,6,48000,7.127216815948486,0.5047940419656493,0.485,0.49166666666666664
